name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
Double Robotics,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Robotics,Hardware,FALSE,FALSE,FALSE,S,12,"Burlingame, CA, USA",United States of America,0
Vastrm,Consumer,Consumer -> Apparel and Cosmetics,Consumer,Apparel and Cosmetics,Apparel,Manufacturing,FALSE,FALSE,FALSE,S,12,Remote,United States of America,0
Flightfox,B2B Software and Services,B2B Software and Services -> Operations,B2B Software and Services,Operations,B2B,,FALSE,FALSE,FALSE,S,12,Remote,United States of America,0
BackerKit,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,Crowdfunding,SaaS,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
NewsBlur,Consumer,Consumer -> Content,Consumer,Content,Consumer,,FALSE,FALSE,FALSE,S,12,Remote,United States of America,0
OctaveWealth,B2B Software and Services,B2B Software and Services -> Human Resources,B2B Software and Services,Human Resources,Investing,Finance,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Upwave,B2B Software and Services,B2B Software and Services -> Operations,B2B Software and Services,Operations,,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Eligible,Healthcare,Healthcare -> Healthcare IT,Healthcare,Healthcare IT,Health Insurance,Healthcare,FALSE,FALSE,TRUE,S,12,"NY, USA",United States of America,0
FundersClub,Financial Technology,Financial Technology -> Asset Management,Financial Technology,Asset Management,Marketplace,Fintech,FALSE,FALSE,FALSE,S,12,Remote,United States of America,0
Zentail,B2B Software and Services,B2B Software and Services -> Supply Chain and Logistics,B2B Software and Services,Supply Chain and Logistics,SaaS,E-commerce,FALSE,FALSE,FALSE,S,12,"Columbia, MD, USA",United States of America,0
HealthSherpa,Healthcare,Healthcare -> Healthcare Services,Healthcare,Healthcare Services,Health Tech,Health Insurance,FALSE,FALSE,FALSE,S,12,"Sacramento, CA, USA",United States of America,0
Human Dx,Healthcare,Healthcare -> Healthcare IT,Healthcare,Healthcare IT,Health Tech,Diagnostics,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,0
Mth Sense,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Advertising,Privacy,FALSE,FALSE,FALSE,S,12,"San Jose, CA, USA",United States of America,0
Rainforest,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Developer Tools,SaaS,FALSE,FALSE,FALSE,S,12,Remote,United States of America,0
Study Edge,Education,Education,Education,,eLearning,Edtech,FALSE,FALSE,FALSE,S,12,"Gainesville, FL, USA",United States of America,1
Virool,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Advertising,Video,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,1
VoiceGem,B2B Software and Services,B2B Software and Services -> Recruiting and Talent,B2B Software and Services,Recruiting and Talent,Messaging,,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,1
Mattermark,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,Big Data,Investing,FALSE,FALSE,FALSE,S,12,"San Francisco, CA, USA",United States of America,1
Natero,B2B Software and Services,B2B Software and Services -> Operations,B2B Software and Services,Operations,SaaS,B2B,FALSE,FALSE,FALSE,S,12,"Mountain View, CA, USA",United States of America,1
BufferBox,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,E-commerce,,FALSE,FALSE,FALSE,S,12,"Waterloo, ON, Canada",Canada,1
Easel,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Design Tools,,FALSE,FALSE,FALSE,S,12,"CA, USA",United States of America,1
Vayable,Consumer,"Consumer -> Travel, Leisure and Tourism",Consumer,"Travel, Leisure and Tourism",Marketplace,Sustainable Tourism,FALSE,FALSE,TRUE,S,12,"San Francisco, CA, USA",United States of America,1
