name,subindustry,batch,Location1,Year,status,success
Snipd,B2B Software and Services -> Marketing,S08,"Palo Alto, CA, USA",8,Inactive,Inactive
Ticket Stumbler,"Consumer -> Travel, Leisure and Tourism",S08,"Boston, MA, USA",8,Inactive,Inactive
Claimspotting,Consumer -> Gaming,S08,Remote,8,Inactive,Inactive
Team Apart,B2B Software and Services -> Productivity,S08,,8,Inactive,Inactive
Youlicit,Consumer -> Content,S08,"New York, NY, USA",8,Inactive,Inactive
Precognate,Consumer -> Gaming,S08,,8,Inactive,Inactive
Picwing,Consumer -> Social,S08,"San Francisco, CA, USA",8,Inactive,Inactive
CO2Stats,"B2B Software and Services -> Engineering, Product and Design",S08,"Cambridge, MA, USA",8,Inactive,Inactive
Anyvite,Consumer -> Home and Personal,S08,"Columbia, MD, USA",8,Inactive,Inactive
Frogmetrics,B2B Software and Services -> Retail,S08,"NY, USA",8,Inactive,Inactive
Job Alchemist,B2B Software and Services -> Recruiting and Talent,S08,,8,Inactive,Inactive
OhLife,Consumer -> Content,S08,"San Francisco, CA, USA",8,Inactive,Inactive
Momentus,Industrials -> Aviation and Space,S18,"Santa Clara, CA, USA",18,Exited,Exited
Modern Treasury,B2B Software and Services -> Finance and Accounting,S18,"San Francisco, CA, USA",18,Active,Ongoing
Papa,Healthcare -> Healthcare IT,S18,"Miami, FL, USA",18,Active,Ongoing
Titan,Financial Technology -> Asset Management,S18,"New York, NY, USA",18,Active,Ongoing
Ajaib,Financial Technology -> Banking and Exchange,S18,Remote,18,Active,Ongoing
Khatabook,Financial Technology -> Payments,S18,"Bengaluru, KA, India",18,Active,Ongoing
Mutiny,B2B Software and Services -> Marketing,S18,Remote,18,Active,Ongoing
OpenPhone,B2B Software and Services -> Operations,S18,Remote,18,Active,Ongoing
Duffel,B2B Software and Services,S18,"London, England, United Kingdom",18,Active,Ongoing
RevenueCat,"B2B Software and Services -> Engineering, Product and Design",S18,Remote,18,Active,Ongoing
OkCredit,Financial Technology -> Payments,S18,"Bengaluru, KA, India",18,Active,Ongoing
Avo,Consumer -> Home and Personal,S18,"Tel Aviv-Yafo, Tel Aviv District, Israel",18,Active,Ongoing
Curebase,Healthcare -> Healthcare Services,S18,Remote,18,Active,Ongoing
Fintual,Financial Technology -> Consumer Finance,S18,"Santiago, Santiago Metropolitan Region, Chile",18,Active,Ongoing
64x Bio,Healthcare -> Industrial Bio,S18,"San Francisco, CA, USA",18,Active,Ongoing
Culdesac,Real Estate and Construction -> Housing and Real Estate,S18,"Tempe, AZ, USA",18,Active,Ongoing
Kobo360,B2B Software and Services -> Supply Chain and Logistics,S18,"Lagos, LA, Nigeria",18,Active,Ongoing
Shelf Engine,B2B Software and Services -> Retail,S18,"Seattle, WA, USA",18,Active,Ongoing
Meru Health,Healthcare -> Consumer Health and Wellness,S18,"San Mateo, CA, USA",18,Active,Ongoing
Pine Park Health,Healthcare -> Medical Devices,S18,"Oakland, CA, USA",18,Active,Ongoing
Kunduz,Education,S18,"Istanbul, Istanbul, Turkey",18,Active,Ongoing
Aesthetic,"B2B Software and Services -> Engineering, Product and Design",S18,Remote,18,Active,Ongoing
Kinside,B2B Software and Services -> Human Resources,S18,Remote,18,Active,Ongoing
Gerostate Alpha,Healthcare -> Therapeutics,S18,"Novato, CA, USA",18,Active,Ongoing
Circumvent,Healthcare -> Therapeutics,S18,,18,Active,Ongoing
Rejuvenation Technologies Inc.,Healthcare -> Therapeutics,S18,"Mountain View, CA, USA",18,Active,Ongoing
Dorian therapeutics,Healthcare -> Therapeutics,S18,"San Carlos, CA, USA",18,Active,Ongoing
iLabService,B2B Software and Services -> Productivity,S18,"Shanghai, Shanghai, China",18,Active,Ongoing
LemonBox,Consumer -> Home and Personal,S18,"Beijing, Beijing, China",18,Active,Ongoing
Enveritas,Industrials -> Agriculture,S18,"New York, NY, USA",18,Active,Ongoing
SPATE,B2B Software and Services -> Retail,S18,"New York, NY, USA",18,Active,Ongoing
Oxygen,Financial Technology -> Consumer Finance,S18,"San Francisco, CA, USA",18,Active,Ongoing
"Mark Cuban Cost Plus Drug Company, PBC",Healthcare -> Consumer Health and Wellness,S18,,18,Active,Ongoing
AnnieCannons,Education,S18,"Oakland, CA, USA",18,Active,Ongoing
Leena AI,B2B Software and Services -> Human Resources,S18,"New Delhi, DL, India",18,Active,Ongoing
Synkrino Biotherapeutics,Healthcare -> Drug Discovery and Delivery,S18,"Oakland, CA, USA",18,Active,Ongoing
Cowrywise,Financial Technology -> Asset Management,S18,"Lagos, LA, Nigeria",18,Active,Ongoing
Helicarrier (prev Buycoins),Financial Technology -> Banking and Exchange,S18,"Lagos, LA, Nigeria",18,Active,Ongoing
BrainHi,Healthcare -> Healthcare IT,S18,"San Juan, San Juan, Puerto Rico",18,Active,Ongoing
Four Growers,Industrials -> Agriculture,S18,"Pittsburgh, PA, USA",18,Active,Ongoing
SkydropX,B2B Software and Services -> Supply Chain and Logistics,S18,"Monterrey, N.L., Mexico",18,Active,Ongoing
Eva Center,Healthcare -> Healthcare IT,S18,"Mexico City, CDMX, Mexico",18,Active,Ongoing
Nova,Financial Technology,S18,"New York, NY, USA",18,Active,Ongoing
Nestor,B2B Software and Services -> Human Resources,S18,Remote,18,Active,Ongoing
ZiffyHomes,Real Estate and Construction -> Housing and Real Estate,S18,"Gurugram, HR, India",18,Active,Ongoing
Bot MD,Healthcare -> Healthcare Services,S18,"Singapore, Singapore",18,Active,Ongoing
Names & Faces,B2B Software and Services -> Human Resources,S18,"Palo Alto, CA, USA",18,Active,Ongoing
Tenderd,B2B Software and Services,S18,"Dubai, United Arab Emirates",18,Active,Ongoing
Calii,Consumer -> Food and Beverage,S18,"Monterrey, N.L., Mexico",18,Active,Ongoing
Prodigal,Financial Technology -> Credit and Lending,S18,"Mountain View, CA, USA",18,Active,Ongoing
The Supplant Company,Consumer -> Food and Beverage,S18,"Cambridge, England, United Kingdom",18,Active,Ongoing
Canary Technologies,B2B Software and Services -> Operations,S18,"San Francisco, CA, USA",18,Active,Ongoing
MentalHappy,Healthcare -> Consumer Health and Wellness,S18,Remote,18,Active,Ongoing
Molecular Reality,Healthcare -> Diagnostics,S18,"San Francisco, CA, USA",18,Active,Ongoing
Alpha Vantage,Financial Technology -> Banking and Exchange,S18,"Boston, MA, USA",18,Active,Ongoing
BlueCargo,B2B Software and Services -> Supply Chain and Logistics,S18,"Los Angeles, CA, USA",18,Active,Ongoing
Mytos,Healthcare -> Industrial Bio,S18,"London, England, United Kingdom",18,Active,Ongoing
HappiLabs,Healthcare -> Healthcare Services,S18,"Chicago, IL, USA",18,Active,Ongoing
CB Therapeutics,Healthcare -> Industrial Bio,S18,"San Diego, CA, USA",18,Active,Ongoing
Rain Neuromorphics,Industrials -> Manufacturing and Robotics,S18,"Redwood City, CA, USA",18,Active,Ongoing
"DreamCraft Entertainment, Inc.",Consumer -> Gaming,S18,"Redwood City, CA, USA",18,Active,Ongoing
Ubits,B2B Software and Services -> Human Resources,S18,Remote,18,Active,Ongoing
Purple Plate,Consumer -> Food and Beverage,S18,"San Francisco, CA, USA",18,Active,Ongoing
Quickchat AI,B2B Software and Services -> Productivity,S18,"Warsaw, Masovian Voivodeship, Poland",18,Active,Ongoing
Regology,B2B Software and Services -> Legal,S18,"Palo Alto, CA, USA",18,Active,Ongoing
Impactive (formerly Outvote),Government,S18,Remote,18,Active,Ongoing
Berbix,"B2B Software and Services -> Engineering, Product and Design",S18,"San Francisco, CA, USA",18,Active,Ongoing
Corvus Robotics,Industrials -> Drones,S18,"Mountain View, CA, USA",18,Active,Ongoing
Easol,B2B Software and Services,S18,"Lisbon, Lisbon, Portugal",18,Active,Ongoing
Ixora,Consumer -> Virtual and Augmented Reality,S18,"Palo Alto, CA, USA",18,Active,Ongoing
Tall Poppy,B2B Software and Services -> Human Resources,S18,"San Francisco, CA, USA",18,Active,Ongoing
Pocket Worlds,Consumer -> Social,S18,Remote,18,Active,Ongoing
