name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
Nullstone,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Developer Tools,B2B,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Take App,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,B2B,SaaS,FALSE,FALSE,FALSE,W,22,Remote,Singapore,0
BotCity,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Developer Tools,Robotic Process Automation,FALSE,TRUE,FALSE,W,22,Remote,Brazil,0
Payourse,Financial Technology,Financial Technology,Financial Technology,,Fintech,Crypto / Web3,TRUE,FALSE,FALSE,W,22,Remote,Nigeria,0
Cinder,B2B Software and Services,B2B Software and Services -> Security,B2B Software and Services,Security,Security,Trust & Safety,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Nash,Financial Technology,Financial Technology,Financial Technology,,FinOps,Banking as a Service,TRUE,FALSE,FALSE,W,22,"Nairobi, Nairobi County, Kenya",Kenya,0
AntWalk,Education,Education,Education,,Education,Enterprise,FALSE,FALSE,FALSE,W,22,Remote,India,0
Legistify,B2B Software and Services,B2B Software and Services -> Legal,B2B Software and Services,Legal,LegalTech,Marketplace,FALSE,FALSE,FALSE,W,22,"Gurugram, HR, India",India,0
Moni,Financial Technology,Financial Technology -> Credit and Lending,Financial Technology,Credit and Lending,Fintech,Banking as a Service,TRUE,FALSE,FALSE,W,22,Remote,Nigeria,0
Cash Flow Portal,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate and Construction,Housing and Real Estate,Marketplace,Real Estate,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Airwork,B2B Software and Services,B2B Software and Services -> Recruiting and Talent,B2B Software and Services,Recruiting and Talent,Marketplace,Supply Chain,FALSE,FALSE,FALSE,W,22,"Toronto, ON, Canada",Canada,0
Simplifyd Systems,B2B Software and Services,B2B Software and Services,B2B Software and Services,,B2B,,TRUE,FALSE,FALSE,W,22,"Lagos, LA, Nigeria",Nigeria,0
Durioo,Consumer,Consumer -> Content,Consumer,Content,Subscriptions,Entertainment,FALSE,FALSE,FALSE,W,22,"Cyberjaya, Selangor, Malaysia",Malaysia,0
goodfin,Financial Technology,Financial Technology,Financial Technology,,Fintech,,FALSE,FALSE,TRUE,W,22,Remote,United States of America,0
Trackingplan,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Data Engineering,Analytics,FALSE,FALSE,FALSE,W,22,Remote,Spain,0
Hydra,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Open Source,Data Engineering,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Arintra,Healthcare,Healthcare -> Healthcare IT,Healthcare,Healthcare IT,Healthcare,Health Tech,FALSE,FALSE,TRUE,W,22,"Austin, TX, USA",United States of America,0
SmartHelio,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Climate,Solar Power,FALSE,FALSE,FALSE,W,22,"Lausanne, VD, Switzerland",Switzerland,0
Campfire,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Remote,Team Collaboration,FALSE,FALSE,FALSE,W,22,Remote,Canada,0
Demo Gorilla,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,Sales,SaaS,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Blitzllama,B2B Software and Services,B2B Software and Services,B2B Software and Services,,SaaS,,FALSE,FALSE,FALSE,W,22,Remote,India,0
Yunit Inc,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Investing,,TRUE,FALSE,FALSE,W,22,Remote,United States of America,0
"Sendme, Inc",Consumer,Consumer -> Food and Beverage,Consumer,Food and Beverage,Artifical Intelligence,Food Tech,TRUE,FALSE,FALSE,W,22,"Ibadan, YO, Nigeria",Nigeria,0
Vendy,Financial Technology,Financial Technology -> Payments,Financial Technology,Payments,Fintech,B2B,TRUE,FALSE,FALSE,W,22,"Lagos, LA, Nigeria",Nigeria,0
Argo,Consumer,Consumer -> Content,Consumer,Content,Consumer,Social,FALSE,FALSE,FALSE,W,22,Remote,United States of America,0
Lovage,B2B Software and Services,B2B Software and Services -> Operations,B2B Software and Services,Operations,SaaS,B2B,FALSE,TRUE,FALSE,W,22,"Lehi, UT, USA",United States of America,0
Aklimate,B2B Software and Services,B2B Software and Services -> Supply Chain and Logistics,B2B Software and Services,Supply Chain and Logistics,B2B,Climate,FALSE,FALSE,FALSE,W,22,"London, England, United Kingdom",United Kingdom,0
Fuell,B2B Software and Services,B2B Software and Services -> Finance and Accounting,B2B Software and Services,Finance and Accounting,Fintech,,FALSE,FALSE,FALSE,W,22,"Madrid, Community of Madrid, Spain",Spain,0
Tendo,Consumer,Consumer -> Social,Consumer,Social,Marketplace,E-commerce,TRUE,FALSE,TRUE,W,22,"Lagos, LA, Nigeria",Nigeria,0
Convoy,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Open Source,B2B,TRUE,FALSE,FALSE,W,22,Remote,Nigeria,0
Lenco,Financial Technology,Financial Technology -> Banking and Exchange,Financial Technology,Banking and Exchange,Banking as a Service,Fintech,TRUE,FALSE,FALSE,W,22,"Lagos, LA, Nigeria",Nigeria,0
Dojah,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Identity,SaaS,TRUE,FALSE,TRUE,W,22,Remote,Nigeria,0
SubscriptionFlow,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,AIOps,SaaS,FALSE,FALSE,FALSE,W,22,"San Francisco, CA, USA",United States of America,0
Strong Compute,B2B Software and Services,B2B Software and Services,B2B Software and Services,,Artifical Intelligence,Machine Learning,FALSE,FALSE,FALSE,W,22,"Sydney, NSW, Australia",Australia,0
Grey,Financial Technology,Financial Technology,Financial Technology,,Fintech,Consumer,TRUE,FALSE,FALSE,W,22,Remote,Nigeria,0
Finnt,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Consumer,Neobank,FALSE,FALSE,FALSE,W,22,"Miami, FL, USA",United States of America,0
"Elphinstone, Inc.",Financial Technology,Financial Technology -> Asset Management,Financial Technology,Asset Management,Fintech,SaaS,FALSE,FALSE,FALSE,W,22,"Sindh, Pakistan",Pakistan,0
Alga Biosciences,Industrials,Industrials -> Climate,Industrials,Climate,Climate,Agriculture,FALSE,FALSE,TRUE,W,22,"San Francisco, CA, USA",United States of America,0
